age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
28,unknown,single,unknown,unknown,yes,yes,telephone,may,tue,1201,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
44,services,married,high.school,no,yes,no,telephone,may,tue,1030,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
42,technician,married,professional.course,no,no,no,telephone,may,tue,1623,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
42,management,married,university.degree,no,no,no,telephone,may,tue,1677,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
39,services,married,high.school,unknown,yes,no,telephone,may,tue,918,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
42,blue-collar,married,high.school,no,no,yes,telephone,may,tue,1297,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
45,housemaid,married,professional.course,unknown,yes,no,telephone,may,tue,1597,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
31,admin.,single,university.degree,no,no,no,telephone,may,wed,992,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
28,student,single,basic.9y,unknown,yes,yes,telephone,may,wed,732,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
41,entrepreneur,married,university.degree,no,yes,no,telephone,may,wed,1138,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
37,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,wed,591,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
44,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,786,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
44,entrepreneur,married,basic.4y,unknown,no,no,telephone,may,wed,1574,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
54,admin.,divorced,university.degree,no,no,no,telephone,may,wed,1689,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
42,services,married,professional.course,no,yes,no,telephone,may,thu,813,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
46,blue-collar,single,basic.9y,no,yes,no,telephone,may,thu,541,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
32,blue-collar,married,professional.course,no,no,no,telephone,may,thu,1119,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
43,technician,single,university.degree,no,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
54,admin.,married,university.degree,no,no,no,telephone,may,thu,513,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
50,technician,married,high.school,no,yes,no,telephone,may,thu,756,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
31,services,married,basic.6y,no,no,no,telephone,may,thu,2087,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
51,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,thu,1178,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
31,entrepreneur,divorced,high.school,no,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
41,services,divorced,high.school,no,yes,no,telephone,may,thu,985,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
32,unknown,unknown,university.degree,no,no,no,telephone,may,fri,617,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
33,services,married,high.school,unknown,no,no,telephone,may,fri,483,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
